YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,CleanSHEDULED_DEPARTURE,DEPARTURE_TIME,CleanDEPAERTRUE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,CleanScheduled_Time,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,CleanSCHEDULED_ARRIVAL,ARRIVAL_TIME,CleanARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
2015,1,1,4,AA,371,N3GXAA,SEA,MIA,100,01:00:00,52,00:52:00,-8,30,122,338,03:38:00,347,311,2724,933,6,938,09:38:00,939,09:39:00,1,0,0,,,,,,
2015,1,1,4,NK,214,N632NK,LAS,DFW,103,01:03:00,102,01:02:00,-1,13,115,147,01:47:00,147,128,1055,523,6,530,05:30:00,529,05:29:00,-1,0,0,,,,,,
2015,1,1,4,AA,115,N3CTAA,LAX,MIA,105,01:05:00,103,01:03:00,-2,14,117,286,03:26:00,276,255,2342,832,7,851,08:51:00,839,08:39:00,-12,0,0,,,,,,
2015,1,1,4,DL,1450,N671DN,LAS,MSP,105,01:05:00,102,01:02:00,-3,11,113,183,02:23:00,163,150,1299,543,2,608,06:08:00,545,05:45:00,-23,0,0,,,,,,
2015,1,1,4,UA,1545,N76517,LAX,IAH,115,01:15:00,112,01:12:00,-3,11,123,183,02:23:00,175,156,1379,559,8,618,06:18:00,607,06:07:00,-11,0,0,,,,,,
2015,1,1,4,AS,130,N457AS,FAI,SEA,115,01:15:00,107,01:07:00,-8,25,132,213,02:13:00,218,186,1533,538,7,548,05:48:00,545,05:45:00,-3,0,0,,,,,,
2015,1,1,4,NK,597,N528NK,MSP,FLL,115,01:15:00,127,01:27:00,12,14,141,207,02:07:00,220,166,1487,527,40,542,05:42:00,607,06:07:00,25,0,0,,25,0,0,0,0
2015,1,1,4,US,413,N571UW,LAS,CLT,120,01:20:00,110,01:10:00,-10,12,122,245,02:45:00,224,205,1916,747,7,825,08:25:00,754,07:54:00,-31,0,0,,,,,,
2015,1,1,4,AA,2392,N3HRAA,DEN,MIA,120,01:20:00,141,01:41:00,21,12,153,227,02:27:00,208,188,1709,701,8,707,07:07:00,709,07:09:00,2,0,0,,,,,,
2015,1,1,4,NK,168,N629NK,PHX,ORD,125,01:25:00,237,02:37:00,72,9,246,204,02:04:00,175,156,1440,622,10,549,05:49:00,632,06:32:00,43,0,0,,43,0,0,0,0
2015,1,1,4,AA,2211,N3CGAA,PHX,MIA,127,01:27:00,116,01:16:00,-11,10,126,239,02:39:00,234,217,1972,703,7,726,07:26:00,710,07:10:00,-16,0,0,,,,,,
2015,1,1,4,AS,136,N431AS,ANC,SEA,135,01:35:00,,00:00:00,,,,205,02:05:00,,,1448,,,600,06:00:00,,00:00:00,,0,1,A,,,,,
2015,1,1,4,DL,95,N320US,SLC,ATL,140,01:40:00,134,01:34:00,-6,43,217,215,02:15:00,231,182,1590,719,6,715,07:15:00,725,07:25:00,10,0,0,,,,,,
2015,1,1,4,NK,298,N514NK,LAS,IAH,144,01:44:00,140,01:40:00,-4,10,150,170,02:10:00,170,148,1222,618,12,634,06:34:00,630,06:30:00,-4,0,0,,,,,,
2015,1,1,4,HA,17,N389HA,LAS,HNL,145,01:45:00,145,01:45:00,0,16,201,370,04:10:00,385,361,2762,602,8,555,05:55:00,610,06:10:00,15,0,0,,0,0,15,0,0
2015,1,1,4,US,617,N804AW,ANC,PHX,152,01:52:00,143,01:43:00,-9,21,204,323,03:23:00,322,298,2552,902,3,915,09:15:00,905,09:05:00,-10,0,0,,,,,,
2015,1,1,4,UA,1528,N76519,SJU,EWR,154,01:54:00,157,01:57:00,3,12,209,255,02:55:00,241,220,1608,449,9,509,05:09:00,458,04:58:00,-11,0,0,,,,,,
2015,1,1,4,AS,134,N464AS,ANC,SEA,155,01:55:00,140,01:40:00,-15,17,157,218,02:18:00,198,170,1448,547,11,633,06:33:00,558,05:58:00,-35,0,0,,,,,,
2015,1,1,4,B6,304,N607JB,SJU,JFK,155,01:55:00,153,01:53:00,-2,12,205,235,02:35:00,248,231,1598,456,5,450,04:50:00,501,05:01:00,11,0,0,,,,,,
2015,1,1,4,NK,451,N633NK,PBG,FLL,155,01:55:00,139,01:39:00,-16,10,149,208,02:08:00,191,174,1334,443,7,523,05:23:00,450,04:50:00,-33,0,0,,,,,,
2015,1,1,4,NK,972,N606NK,PHX,DFW,159,01:59:00,158,01:58:00,-1,11,209,123,01:23:00,125,103,868,452,11,502,05:02:00,503,05:03:00,1,0,0,,,,,,
2015,1,1,4,AA,2459,N3BDAA,PHX,DFW,200,02:00:00,,00:00:00,,,,120,01:20:00,,,868,,,500,05:00:00,,00:00:00,,0,1,B,,,,,
2015,1,1,4,AS,144,N514AS,ANC,PDX,200,02:00:00,150,01:50:00,-10,24,214,210,02:10:00,209,182,1542,616,3,630,06:30:00,619,06:19:00,-11,0,0,,,,,,
2015,1,1,4,NK,647,N630NK,IAG,FLL,200,02:00:00,155,01:55:00,-5,21,216,184,02:24:00,178,149,1176,445,8,504,05:04:00,453,04:53:00,-11,0,0,,,,,,
2015,1,1,4,B6,1990,N597JB,SJU,EWR,206,02:06:00,152,01:52:00,-14,19,211,246,02:46:00,264,239,1608,510,6,512,05:12:00,516,05:16:00,4,0,0,,,,,,
2015,1,1,4,US,699,N172US,PHX,CLT,220,02:20:00,209,02:09:00,-11,10,219,224,02:24:00,199,183,1773,722,6,804,08:04:00,728,07:28:00,-36,0,0,,,,,,
2015,1,1,4,AS,114,N303AS,ANC,SEA,220,02:20:00,209,02:09:00,-11,15,224,200,02:00:00,199,176,1448,620,8,640,06:40:00,628,06:28:00,-12,0,0,,,,,,
2015,1,1,4,B6,668,N653JB,PSE,MCO,255,02:55:00,248,02:48:00,-7,10,258,185,02:25:00,183,169,1179,447,4,500,05:00:00,451,04:51:00,-9,0,0,,,,,,
2015,1,1,4,UA,1162,N37293,BQN,EWR,259,02:59:00,258,02:58:00,-1,14,312,240,02:40:00,247,225,1585,557,8,559,05:59:00,605,06:05:00,6,0,0,,,,,,
